Geneid	length	WT_Pmm2_5_4	WT_Pmm2_5_3	WT_Pmm2_5_2	Mutant_Pmm2_5_5	Mutant_Pmm2_5_2	Mutant_Pmm2_5_4	Mutant_Pmm2_5_1	Mutant_Pmm2_5_3
LOC101882305	412	0	2	0	0	0	0	9	5
LOC110438025	453	8	8	0	2	0	0	0	16
rxrga	1924	169	425	386	171	79	44	109	143
prg4a	1987	280	624	71	70	43	12	7	94
tpra	7768	1728	3471	4454	3330	1974	395	1156	1705
c2h1orf27	1714	120	343	387	425	129	63	81	405
pdca	2971	108	325	893	359	137	38	91	231
ptgs2a	2135	127	331	451	744	593	133	114	323
pla2g4aa	2591	295	766	810	1049	479	138	197	719
arpc5a	3406	204	401	1600	2280	1084	209	432	1347
lyrm4	742	41	120	297	354	193	11	41	188
nrn1b	1516	64	169	83	79	7	4	15	1
rreb1b	7352	583	1102	3949	3400	1627	398	662	1059
riok1	1869	197	540	930	1095	572	119	233	355
nebl	1492	74	263	113	186	31	14	39	111
pip4k2ab	3524	236	603	1752	1128	911	177	357	262
bmi1b	1940	146	380	860	668	366	62	194	463
dnajc1	2039	185	505	1334	1544	1066	146	435	357
si:dkey-29d8.3	1499	69	239	192	177	96	26	56	41
LOC101882778	1972	87	202	55	29	14	4	7	127
LOC103910040	420	34	112	16	0	0	0	2	0
vipr1a	2144	172	423	261	385	145	37	65	301
zbtb47a	3710	206	616	163	164	59	9	31	188
klhl40a	1958	176	287	903	694	388	100	262	464
hhatla	2018	319	381	7498	5714	2370	762	1796	2369
ctdsplb	3553	268	573	3375	3029	1654	335	848	1168
mir26a-2	128	6	15	2	0	29	3	6	33
plcd1b	3255	234	599	1639	1907	799	150	315	742
LOC108179685	119	1	1	0	0	0	0	0	0
afg3l2	3459	326	671	1304	1543	848	191	395	768
inhbab	2883	156	264	149	133	32	19	27	120
mplkip	1458	60	173	590	464	276	34	111	143
ralab	2558	143	343	852	1031	478	56	155	476
zgc:55781	1764	114	237	431	637	355	51	119	471
fbxl7	2371	159	324	255	140	113	34	88	151
trnak-cuu_7	73	5	27	0	0	0	0	0	31
chd7	10958	1169	2321	13754	9947	5732	1304	3335	3803
rab2a	2292	354	434	6734	7854	4109	766	1820	3043
ca8	2176	152	434	636	574	230	55	168	150
tox	3491	335	572	5069	2869	1656	286	1080	1287
cyp7a1	1981	195	244	1628	1879	721	282	175	977
fam110b	3127	231	452	1633	1085	512	154	408	567
pimr65	1614	37	94	52	26	33	7	16	11
LOC110438162	2816	15	114	5	0	12	4	3	0
pimr66	1590	46	156	22	22	12	3	5	94
LOC108179687	7433	49	268	42	32	14	21	5	102
pimr67	1822	26	85	39	28	0	0	0	71
sep15	966	127	309	1027	1253	867	143	370	531
hs2st1a	1980	149	333	429	338	244	38	100	290
zgc:56628	1430	67	248	104	115	30	9	8	55
pkn2	6210	368	1075	2002	1696	881	199	288	690
gtf2b	1568	110	298	1192	1223	463	128	276	458
lrrc8da	3613	129	385	606	642	260	42	156	371
znf644a	4411	235	497	1793	1300	710	137	292	566
hfm1	5308	321	1028	332	303	100	50	72	373
cldn18	2110	104	323	56	134	13	0	0	117
LOC103910042	1019	76	136	54	61	15	6	10	116
sept2	2335	241	500	2211	1474	944	145	446	851
stk25b	1910	217	380	2090	1787	817	257	494	1036
bokb	1256	107	285	154	99	55	17	15	186
thap4	1144	35	168	348	172	114	36	72	31
zgc:161973	1883	145	300	305	98	232	27	42	318
agxtb	1566	219	363	4438	4421	2279	687	576	1892
kif1ab	9582	905	1722	16062	13403	6891	1668	3568	7027
espnlb	3574	230	405	200	202	38	38	48	1
rab6bb	1042	140	305	1384	1108	496	113	202	414
aire	2306	153	430	83	88	26	17	11	81
amotl2b	3014	254	494	2368	1951	1382	219	352	1005
myo7bb	7218	509	1288	2149	1712	904	217	294	928
LOC103910043	317	0	0	0	0	0	0	0	0
sap130b	4372	443	913	999	743	368	91	313	665
mllt1b	3469	226	520	930	651	362	101	158	723
LOC101886354	1324	81	91	3	73	0	1	7	0
znf414	1722	123	268	766	543	292	77	123	256
mknk2a	3600	325	732	1246	1339	663	154	289	792
csnk1g2a	3310	367	700	2590	2102	1466	285	647	807
mfsd12a	3220	191	475	542	635	205	113	145	350
LOC103910044	750	85	168	65	49	13	5	13	0
prrx1a	1603	124	260	1255	936	537	164	173	564
kifap3b	3764	319	696	1760	1501	708	130	405	592
fam129ab	3512	221	603	277	111	74	25	50	297
rnf2	2019	218	443	3241	2698	1338	338	673	1570
ivns1abpb	3345	278	853	2551	2569	1287	307	634	874
LOC561346	2394	41	140	16	24	0	0	0	0
LOC103910049	913	12	65	11	16	0	0	0	0
LOC100007738	1480	15	93	10	0	16	3	0	0
LOC101886565	837	19	40	0	0	2	0	0	0
LOC561283	3592	52	198	10	9	5	0	0	29
LOC110438027	1552	24	134	13	18	0	4	3	39
LOC561147	3631	16	117	0	0	0	0	3	0
si:dkey-58b18.4	839	0	0	0	9	0	0	0	0
LOC103910054	1279	2	24	0	0	1	0	0	2
LOC103910046	565	3	0	0	0	0	0	0	0
si:dkey-58b18.7	839	0	0	0	0	0	0	0	0
LOC100007781	2225	2	5	0	0	0	0	0	0
LOC110438026	1472	0	2	0	0	0	0	0	0
LOC100007785	4304	55	187	40	22	0	1	6	0
rpp40	1247	52	176	231	301	159	14	55	150
cdyl	6525	337	820	1876	1313	705	258	287	923
oxsr1a	1722	215	361	1248	1050	749	182	349	828
slc22a13a	1781	90	266	59	66	43	1	11	157
xirp1	8571	473	1003	1586	1297	825	117	360	372
LOC110438028	1784	57	120	68	41	25	2	0	67
csrnp1a	3101	174	379	1213	846	415	202	200	364
gorasp1a	2356	169	394	1211	959	581	121	243	573
si:dkey-24c2.9	1496	122	255	114	79	37	21	15	169
tgfbr1a	2167	196	383	654	829	243	116	202	326
col15a1b	5204	479	1257	2125	1831	891	261	524	741
slc12a7a	4961	379	1008	1499	1399	812	239	285	876
kcnh2a	7667	396	1101	520	305	189	37	65	232
map4l	8261	675	1219	8763	7515	3784	797	1959	2934
vmhc	5991	506	1237	5594	5593	3563	634	1224	2651
mir736	80	0	4	0	0	0	0	0	0
vmhcl	6016	490	1227	3219	2633	2053	362	471	1344
fitm1	2382	124	267	506	314	218	83	128	321
trnau1apb	2172	178	352	3561	3930	1688	357	781	1380
mrpl34	937	47	116	644	657	357	62	113	308
ano8a	3820	293	770	663	660	415	72	158	381
pimr68	1351	64	159	9	39	8	0	0	0
plvap	2388	110	260	263	411	112	44	41	164
nr2f6a	3299	266	541	1695	1676	692	146	346	919
zgc:154006	1874	109	306	242	344	72	18	55	46
si:dkey-208k22.6	2201	132	284	253	218	132	44	22	193
kcnn1a	4876	436	730	1988	1477	660	202	455	711
insl3	962	42	80	26	30	0	3	0	48
si:rp71-39b20.4	4298	168	467	779	414	246	59	104	362
rps28	513	277	96	14833	13680	15424	1549	2078	11897
angptl4	2402	289	390	4782	6440	3376	685	1004	2089
cnn2	2402	188	367	2104	2314	1220	270	454	1709
crsp7	2397	183	233	750	647	278	78	180	126
crtc1a	3816	120	270	1297	849	478	138	222	378
LOC108179692	3891	20	54	74	92	13	2	9	0
LOC101886665	1082	1	29	11	16	9	6	0	0
mast3a	6206	63	192	210	282	134	42	78	157
pik3r2	4991	94	185	786	383	309	61	200	363
LOC101882114	2875	52	172	81	67	41	5	22	28
ifi30	1041	0	0	6	0	0	0	0	0
mpv17l2	1537	0	0	0	0	0	0	0	0
pde4ca	7503	0	6	3	0	0	0	0	0
rab3aa	2439	1	0	2	0	0	0	1	0
LOC110438163	856	0	0	0	0	0	0	0	0
agtr1a	1815	136	233	80	56	40	9	25	84
gyg1a	2570	178	362	3543	3078	1663	584	564	1506
hltf	3174	256	674	313	372	159	54	107	205
nck1a	1784	112	200	955	695	479	60	167	457
slc35g2a	2463	92	247	658	411	225	77	106	351
stag1a	7536	571	1222	3778	3190	1538	381	827	1551
pccb	2086	234	495	2159	1897	931	269	435	1267
msl2a	4004	186	478	1074	760	521	97	245	387
nceh1a	1866	115	233	23	47	6	12	11	34
ppp2r3a	8161	762	1259	10096	9384	5063	1216	2470	4103
fndc3ba	6979	584	1313	4104	3407	1473	303	809	1870
ghsra	1083	52	130	21	85	25	0	5	0
pld1a	4461	329	883	2066	1407	655	221	287	679
tnika	6041	608	1371	4180	2578	1158	280	733	1028
LOC110438036	342	11	66	20	0	16	0	7	0
slc2a2	2712	163	506	1784	1214	455	100	199	654
eif5a2	2404	473	554	15730	15170	7684	1833	3168	8408
slc7a14a	5768	419	815	2234	2132	885	174	530	735
cldn11a	1269	107	276	820	651	413	123	105	409
grin3ba	4700	294	610	431	444	144	60	119	194
plppr3a	2534	202	477	1109	996	330	96	316	231
palm1b	2515	261	421	3689	2801	1841	254	768	1188
ptbp1a	3867	294	749	3350	4013	1825	464	669	2049
efna2a	2303	212	361	1007	626	329	84	152	289
rabggtb	1705	114	308	430	337	208	55	88	349
acadm	1631	308	491	4715	4434	2530	506	828	2172
hectd3	3163	339	598	2008	1860	1205	304	516	1132
rps8a	694	857	267	65787	53006	36969	8264	11135	25051
best4	2661	125	363	277	139	79	20	29	127
si:ch211-106k21.5	5444	227	496	379	424	88	26	71	426
LOC101883139	4543	255	688	164	153	60	12	29	103
ndc1	2764	190	654	1055	904	556	110	270	623
zgc:113691	985	50	142	57	25	12	9	0	94
LOC101883238	838	0	2	0	0	0	0	0	3
yipf1	1886	111	304	557	809	391	81	118	377
lrrc42	1537	79	242	229	156	78	33	46	63
tmem59	1530	118	258	2356	2426	1269	299	442	621
u2surp	3370	363	827	5070	3675	2251	368	1037	1854
mir124-1	82	11	33	8	36	2	0	7	0
ttpa	1837	103	341	556	936	342	94	134	111
asph	4815	488	1014	4586	5501	3875	558	1486	2725
impa1	1314	75	179	303	354	92	53	80	117
si:dkey-181m9.8	3346	226	701	514	588	86	34	90	202
cdh7	4494	355	855	1684	1726	870	143	373	753
dsela	4625	233	437	252	249	160	52	62	122
tmx3	1493	127	340	650	486	157	31	107	193
tesk2	2611	266	559	1103	1155	405	105	207	445
toe1	1833	82	336	441	646	293	48	70	161
si:ch73-382f3.1	1732	103	283	107	197	47	18	32	218
sepp1b	1325	108	325	1861	1385	1248	234	343	903
elovl8a	1254	148	335	313	160	75	26	35	25
LOC100150236	2801	15	69	19	14	0	16	6	0
LOC103910056	4664	268	624	1236	736	431	64	243	463
zswim5	3456	502	670	4773	3953	1563	316	1329	922
urod	1414	120	331	455	735	388	83	121	547
lyn	3309	196	534	286	255	97	7	40	239
tgs1	2895	160	546	565	471	393	57	102	353
tmem68	2853	169	412	491	560	420	87	129	601
zgc:123035	2401	212	380	1202	1317	425	97	363	203
LOC100334178	2962	232	486	622	569	224	52	160	203
LOC108179742	826	1	2	0	0	0	0	9	0
buc	2608	176	361	45	107	72	13	11	178
rnf152	1826	159	337	238	82	102	13	21	194
zgc:163121	2201	147	413	199	181	108	11	35	98
mc4r	981	58	88	37	76	17	9	14	108
zgc:56556	1693	111	294	176	130	118	31	40	58
cdh6	4380	338	621	3139	2437	1122	199	681	1368
LOC101882631	2494	108	227	29	4	43	3	0	69
LOC101882566	1326	57	204	3	0	16	5	1	1
mmp15b	2908	309	558	1709	1291	619	138	344	738
dhcr7	1932	184	375	2552	1928	797	190	248	927
nadsyn1	1772	124	397	250	287	139	30	41	78
cdh10a	2756	213	446	1334	1314	494	105	328	867
cdh12a	3004	263	576	685	391	271	58	130	99
cdh18a	1561	93	185	372	318	90	34	101	1
cahz	1538	135	378	1816	1752	574	145	352	622
dlgap1a	5318	476	879	1607	1225	493	116	423	475
ptf1a	1195	67	159	270	300	59	24	15	206
LOC110438043	962	26	81	93	10	11	2	4	73
si:dkey-188g12.1	6858	344	856	175	249	79	14	50	141
si:ch211-207d6.2	7149	585	1339	2542	2500	1066	332	513	1333
paxip1	4035	304	816	1886	1960	743	188	400	1059
htr5aa	1227	90	214	25	57	8	5	18	83
en2b	1809	110	271	687	363	277	24	125	170
cnpy1	1209	102	345	466	771	320	90	108	367
rbm33b	2444	212	593	33	47	22	5	13	191
shhb	1962	89	231	323	337	66	28	31	1
dnajb6a	2151	185	506	1729	1352	804	168	432	682
trpa1a	4396	216	774	652	961	419	89	182	774
kcnb2	5000	254	482	1258	904	466	115	300	788
rpl7	826	2207	237	98303	123201	56406	16971	14867	98821
rdh10b	1547	112	364	198	254	187	46	71	78
ube2w	2054	101	414	327	246	181	35	94	373
trnan-guu_3	74	0	0	0	0	0	0	0	0
trnak-cuu_8	73	15	20	0	0	0	0	0	0
trnan-guu_4	74	0	0	0	0	0	0	0	0
trnan-guu_5	74	0	0	0	0	0	0	0	0
trnan-guu_6	74	0	0	0	0	0	0	0	0
trnak-cuu_9	73	1	0	0	0	0	0	0	0
trnan-guu_7	74	1	0	0	0	5	0	0	0
trnak-cuu_10	73	0	0	0	0	0	0	0	0
trnak-cuu_11	73	0	0	0	0	0	0	0	0
trnan-guu_8	74	0	0	0	0	0	0	0	0
trnak-cuu_12	73	0	0	0	0	0	0	0	0
trnak-cuu_13	73	0	0	0	0	0	0	0	0
trnan-guu_9	74	4	0	0	0	0	0	0	0
trnan-guu_10	74	12	11	0	0	0	0	0	0
trnak-cuu_14	73	0	0	0	0	0	0	0	0
trnan-guu_11	74	0	0	0	0	0	0	0	0
trnak-cuu_15	73	1	2	0	0	0	0	0	0
trnan-guu_12	74	0	0	0	0	0	0	0	0
trnak-cuu_16	73	0	0	0	0	0	0	0	0
trnan-guu_13	74	0	0	0	0	0	0	0	0
trnak-cuu_17	73	1	0	0	0	0	0	0	0
trnan-guu_14	74	0	0	0	0	0	0	0	0
trnak-cuu_18	73	11	23	0	0	0	0	0	0
trnan-guu_15	74	0	0	0	0	0	0	0	0
trnak-cuu_19	73	0	0	0	0	0	0	0	0
trnan-guu_16	74	7	23	0	0	0	0	0	41
tceb1b	881	42	96	915	813	400	74	170	399
tmem70	1537	70	253	450	307	220	70	91	287
LOC108179762	2660	78	116	29	0	10	1	0	0
jph1b	4603	467	642	6690	4739	2919	724	1720	1244
pi15b	2042	78	257	79	113	31	7	10	101
crispld1b	2485	144	420	787	772	318	70	151	328
socs6b	3056	181	397	1213	777	504	69	199	549
cbln2a	763	75	179	183	191	46	14	34	67
neto1	705	27	123	11	29	14	0	4	7
LOC110437736	1897	90	248	123	178	29	18	3	0
fam173b	1250	77	184	164	73	21	9	29	1
march6	5425	478	1222	3378	3484	1926	441	838	1667
ankrd33bb	4479	180	490	271	175	160	22	52	203
ctnnd2b	6341	575	1016	3347	2053	1150	240	1113	822
si:dkey-94e7.1	1825	91	251	75	0	17	3	4	15
si:dkey-94e7.2	3045	94	258	141	89	15	16	6	91
rp1	8428	378	959	773	559	329	55	111	283
tcea1	1598	155	376	1721	1394	734	121	341	603
rgs20	2514	154	402	511	556	269	54	124	192
atp6v1h	1822	225	444	2562	2072	1030	241	544	537
oprk1	2919	133	287	240	164	118	42	70	173
chmp5a	2267	141	537	414	496	223	25	155	173
bag1	1316	104	257	597	563	337	42	106	166
myl12.2	945	114	203	1716	1445	843	173	224	455
myom1a	6045	896	1296	17160	13848	7189	1612	4480	6889
lipin2	5259	473	948	4147	3265	1630	470	807	1895
emilin2a	5127	296	643	1520	1037	753	194	213	702
LOC101885430	7509	34	121	26	73	4	0	11	83
adcyap1b	3268	234	514	3179	2312	1337	256	606	866
yes1	4525	367	782	4026	3709	1720	530	830	1528
clul1	2129	144	330	994	1014	647	140	131	348
colec12	4940	328	580	1679	1596	754	125	337	799
stam	3768	324	687	2418	1766	1039	191	496	1040
si:dkey-32m20.1	1084	83	189	71	107	50	13	12	43
cacnb2b	1810	224	443	847	489	289	73	99	300
mrc1b	6184	345	1076	952	508	434	84	136	543
si:ch211-106h4.4	7824	517	1573	886	416	211	72	52	435
LOC110438058	5568	27	68	1	14	0	5	4	35
si:ch211-106h4.5	1207	51	175	77	94	61	11	9	59
si:ch211-106h4.6	2266	111	507	154	173	81	25	29	0
si:ch211-106h4.9	4101	362	934	1671	1386	652	136	287	455
si:ch211-106h4.12	810	63	181	177	155	109	12	35	59
ackr4a	2521	113	319	30	31	53	6	8	20
e2f5	3282	143	563	69	67	48	26	6	168
lrrcc1	3439	239	729	446	353	233	45	89	164
ralyl	1779	104	307	253	241	94	28	32	322
and2	2006	344	272	8118	10040	4823	1263	2286	5179
retreg1	2009	120	346	285	339	404	88	99	89
rnf182	1026	46	65	82	99	106	4	7	80
ranbp9	2230	239	618	1304	1157	629	188	235	606
nol7	1140	104	251	775	856	397	74	110	546
epdr1	1402	56	168	350	311	155	26	140	153
stard3nl	2409	122	446	820	696	387	64	122	201
trgv2	1251	65	203	114	5	40	2	11	124
LOC110438070	919	37	72	9	0	1	3	0	0
LOC110438069	628	33	70	0	0	0	0	0	0
amph	5185	533	1063	4585	3516	1529	390	982	1911
otulinb	1810	123	299	506	359	160	49	86	291
ankhb	2596	242	588	1173	1038	568	98	316	576
mycb	1693	203	287	2719	2962	1422	300	600	918
si:ch211-139k8.2	2048	122	378	384	343	200	66	92	285
LOC100003868	3538	0	1	7	0	0	0	0	0
fam49ba	1947	209	501	775	899	331	79	157	551
asap1a	7606	648	1388	4289	3180	1771	321	1115	1602
ubtfl	3830	349	872	2446	2246	1112	225	582	945
slc4a2a	6930	595	1271	1717	1584	1173	198	409	768
ttc19	1666	128	285	747	630	321	98	165	510
faim2a	1270	170	261	885	997	590	103	190	465
abcf2a	2419	271	495	1848	1727	773	242	466	819
smarcd3a	3858	375	669	1534	984	337	119	326	721
tmub1	1609	149	266	889	536	387	121	200	202
fastk	3684	288	575	1158	1181	611	168	349	439
LOC101886824	420	6	11	0	12	0	0	0	85
LOC110438071	933	14	78	126	7	52	0	21	8
si:dkeyp-73d8.6	930	7	9	0	34	0	0	0	0
si:dkeyp-73d8.8	1570	37	43	58	78	19	8	23	63
si:dkeyp-73d8.9	1018	9	12	236	79	78	12	14	34
LOC101887108	1350	1	0	0	0	0	0	0	0
LOC101887030	1111	0	0	0	0	0	0	0	0
puf60a	2535	278	729	2378	1647	1013	238	665	1010
nrbp2a	5372	326	868	2256	2218	1125	274	423	907
LOC101887149	1550	36	162	7	44	17	7	11	2
klhl18	1864	137	324	371	404	203	18	188	108
bfsp2	2077	170	260	3690	2510	2022	416	724	1293
zgc:136930	1708	1013	338	41845	31129	14974	4103	10629	11645
ccr9a	1830	107	206	174	227	121	17	16	75
LOC110438072	3003	74	289	339	259	164	41	62	135
prpf4ba	5047	386	892	3657	2854	1552	259	625	1185
si:dkey-154p10.3	2317	177	403	298	211	158	18	41	373
opn4.1	3192	195	340	999	664	165	59	209	193
tmem53	1293	71	269	185	381	271	51	118	288
LOC108179926	776	31	96	29	19	10	0	7	56
rnf220a	4557	501	910	3508	3270	1410	339	803	1622
klf17	1610	109	289	514	616	180	41	100	214
slc6a9	10346	871	1433	12730	11555	4851	1155	2476	5158
ccdc24	2255	143	424	137	254	51	16	35	1
zgc:113531	1117	86	158	808	1006	243	45	166	671
b4galt2	4159	255	680	1206	981	389	167	224	348
atp6v0b	1952	203	442	3698	3287	1261	295	580	1969
kiss1ra	1101	89	249	117	121	120	11	8	30
mir23a-3	78	5	28	16	0	5	0	0	0
mir27a	131	13	11	3	0	0	0	4	0
kif2c	3082	264	806	625	337	160	24	84	477
ptch2	4853	538	748	5626	4838	2236	617	1090	1915
eif2b3	1745	104	368	926	736	430	92	197	501
klhl20	3044	260	670	1015	812	439	101	278	403
cenpl	1843	96	272	197	130	54	0	36	0
dars2	2895	221	603	338	402	135	27	99	213
si:dkey-21n10.3	3243	1	6	0	0	0	0	0	0
brinp2	3231	182	436	1820	1140	708	112	371	893
astn1	4873	421	889	3045	2491	1102	317	813	865
pappa2	6678	489	1164	1024	914	544	184	217	701
rfwd2	3497	262	735	983	882	445	95	183	505
tnr	6467	498	1277	4123	3187	1403	387	891	1752
kiaa0040	2312	103	264	580	354	263	49	76	352
tnw	3859	624	631	13739	11925	4553	1024	2949	4600
mrps14	709	50	131	713	566	269	84	165	532
cacybp	1020	57	202	662	582	374	72	125	360
plk3	3289	282	656	3275	3825	2158	372	843	1341
si:dkey-4i23.5	621	16	55	78	28	9	0	4	0
tctex1d4	2381	89	265	18	43	47	4	18	35
ankrd45	851	50	166	43	58	29	9	13	42
rasal2	7018	641	1218	2303	1778	1100	280	622	605
dhx9	5202	489	1020	2838	2526	1205	235	596	1522
lamc1	6050	802	1122	12046	11016	5472	1179	2402	6138
lamc2	3982	247	751	234	142	92	27	34	68
nmnat2	1603	160	305	1112	1389	638	87	263	472
smg7	6200	682	1483	5775	4846	2199	731	1331	2630
LOC110438073	1728	84	268	31	42	17	2	0	0
trac	2125	58	330	88	48	4	4	14	65
LOC101884642	432	9	60	0	0	0	0	0	0
LOC101884705	435	13	70	10	0	0	0	0	0
LOC100535032	402	33	90	39	0	15	1	5	87
LOC108192206	390	20	56	14	0	2	0	0	0
LOC110440224	390	28	78	0	12	0	2	0	0
LOC110440225	570	24	53	0	0	0	0	0	0
LOC103910079	378	14	33	11	0	0	0	0	0
LOC101885895	1005	47	135	0	22	22	4	0	0
LOC101885948	654	40	74	6	0	0	3	0	52
LOC103910083	439	36	84	1	18	4	0	0	0
LOC101885299	551	15	55	7	0	0	0	2	0
LOC101885372	384	10	42	0	0	0	0	0	0
LOC407628	411	46	93	18	20	21	11	6	41
LOC103910089	354	13	48	7	0	0	0	0	65
LOC108192208	411	20	65	0	0	0	0	3	0
LOC108192209	354	2	47	0	14	0	0	0	0
LOC101885617	393	17	46	0	5	0	0	0	0
LOC101885740	354	9	106	0	0	0	0	1	0
LOC101885878	408	30	47	17	0	0	0	0	34
LOC100537001	591	6	46	0	0	0	1	0	0
LOC110437882	381	12	41	0	0	0	3	0	0
LOC100537101	427	0	13	0	0	0	0	0	0
LOC101886169	420	27	58	0	0	0	0	0	0
LOC101886270	952	30	122	13	16	18	0	0	0
LOC101886328	432	11	54	11	0	0	0	0	0
LOC110437914	531	18	62	10	0	0	2	0	0
LOC101886456	1099	14	138	0	0	0	0	5	0
LOC101886513	396	19	40	0	0	0	0	0	18
LOC100537985	451	20	98	0	26	6	0	0	28
LOC100331689	360	29	84	0	0	0	0	0	0
LOC100534760	452	18	46	0	0	0	0	0	33
LOC101886801	496	2	15	0	0	3	0	0	0
LOC101886872	372	5	31	0	0	0	0	0	0
LOC101887191	403	0	0	0	0	0	0	0	0
LOC101882052	468	3	21	0	1	0	0	0	0
LOC101882108	420	4	15	0	0	0	0	0	0
LOC101886155	1869	3	7	0	8	0	0	0	1
LOC101886113	155	1	1	0	0	0	0	0	0
ing5b	1204	83	222	172	73	53	5	24	98
pak2a	3104	303	619	2407	2557	1101	276	569	902
klhl6	2002	120	270	118	103	75	27	47	83
ccnl1b	1967	164	447	1342	1592	1195	236	510	508
ptx3b	1914	122	242	34	68	0	19	11	109
golim4b	2577	183	583	334	145	75	16	38	237
pdcd10b	1149	79	254	988	908	474	73	215	587
LOC103910071	2739	117	287	66	33	5	0	7	21
mir2198	110	0	0	0	0	0	0	0	0
slitrk3b	4353	208	404	588	555	221	63	149	190
nrd1a	4131	426	954	2222	1967	1262	235	430	1217
si:dkey-193b15.8	1262	79	170	289	166	32	13	93	97
rabgap1l2	2237	148	374	704	591	440	81	116	378
si:dkey-193b15.5	3141	118	383	56	84	29	10	14	50
zgc:153654	2161	116	324	43	40	111	3	9	95
map1sb	5225	227	771	1540	1447	784	197	294	498
gadd45bb	1198	51	146	355	628	268	38	62	93
gng7	498	66	118	605	535	328	87	193	115
diras1b	4366	204	466	457	260	160	33	60	101
zgc:101744	1100	96	191	1280	1275	754	129	278	645
slc1a8b	1695	138	419	589	305	154	51	125	139
elavl1	3539	355	803	6096	5309	2777	497	1329	2919
tspan37	1892	97	308	152	246	136	26	24	51
pex19	1672	124	231	1212	1368	700	164	291	436
LOC103910072	2558	113	293	97	147	44	16	96	143
copa	4091	538	908	5989	17374	8613	2397	4706	8408
apoda.2	1095	112	118	2779	1403	1256	519	129	961
apoda.1	852	55	156	683	637	118	55	121	125
samd7	2395	188	395	540	480	153	60	120	297
sec62	1320	153	336	2444	3015	1714	353	588	1206
nadkb	2406	227	530	965	752	419	111	161	293
gpr160	1072	38	94	126	133	50	13	20	127
skila	7988	420	811	3893	2818	1590	391	902	1318
prkci	3528	332	682	2197	1822	1094	227	509	1297
phc3	4649	309	744	420	313	202	22	89	233
si:dkey-127k13.1	4161	260	675	1815	1737	896	173	336	1019
dapk3	3166	146	386	1743	1709	858	219	363	857
sppl2	2939	242	647	1293	815	592	121	232	571
arhgef18a	4341	344	965	1476	1368	941	190	326	641
insra	6435	527	1080	6959	6967	3459	897	1436	2674
hiat1a	3286	237	736	1498	1248	655	157	312	966
myo9b	7562	576	1531	2840	2687	1619	334	588	1280
si:dkeyp-66d1.7	1315	156	240	1122	1165	277	72	121	1063
ftr66	2929	128	376	74	52	24	7	0	114
nfatc4	3746	325	564	392	264	133	27	85	335
ltb4r2b	1972	93	288	120	164	123	12	29	191
LOC101882378	1125	50	170	215	214	101	42	45	89
sdr39u1	1561	16	54	92	106	57	28	23	179
rpph1	306	0	0	0	0	0	0	0	0
mettl17	1683	2	0	1	1	0	0	0	0
parp2	2335	1	5	96	22	53	3	5	0
si:ch211-284o19.8	1041	15	22	0	0	23	0	5	0
LOC110438075	581	34	80	32	0	0	0	0	1
zgc:66427	2873	30	196	227	324	169	30	74	109
cbln13	976	7	60	22	21	1	0	0	1
hbl4	1076	3	29	11	75	0	0	0	0
hbl3	1051	39	66	102	205	86	14	11	24
hbl2	972	5	13	0	0	0	0	0	0
hbl1	1091	3	5	0	0	0	0	0	28
tep1	8282	516	1381	2091	2396	1445	314	523	1322
LOC103910098	974	42	100	82	20	39	1	17	120
cbln10	1470	75	252	130	224	72	9	12	220
cbln14	1142	0	3	10	0	0	0	0	0
cbln9	816	3	7	0	0	0	0	0	0
apol1	2387	4	2	79	46	46	8	24	0
si:rp71-1g18.13	3226	5	0	12	62	26	5	1	0
pcp4l1	765	0	0	0	0	0	0	0	0
dcaf8	4243	5	0	0	0	2	0	0	0
hnrnpc	1944	0	0	3	75	6	0	6	35
c1ql4l	1132	0	0	0	0	0	0	0	0
casq1a	2979	0	0	1	0	0	0	0	2
si:rp71-1g18.1	2370	0	0	0	0	0	0	0	0
tox4a	3536	2	48	28	28	0	0	4	0
chd8	8857	165	537	787	870	492	123	184	185
cbln12	1104	38	66	32	0	0	0	0	14
trim110	2881	65	258	14	39	32	0	19	30
sall2	6271	168	345	485	498	205	38	168	118
mmp14b	4350	88	143	978	667	390	51	171	670
acin1a	7449	193	340	4080	2111	2497	266	777	926
si:ch211-14a17.11	1574	11	29	225	51	64	18	18	45
si:ch211-14a17.10	3161	54	204	14	28	11	0	0	27
LOC110437920	268	0	9	0	0	0	0	0	0
LOC110437886	1087	20	111	8	4	0	5	0	0
dhrs1	1325	45	81	458	471	238	75	65	235
homeza	2971	30	70	158	144	87	25	24	103
LOC108179942	1946	11	36	13	2	0	0	0	0
si:ch211-14a17.7	1082	6	78	15	0	2	0	0	7
si:ch211-14a17.6	1473	24	108	7	26	0	0	3	10
nedd8l	974	14	19	346	353	115	42	74	120
ap1g2	3176	46	145	225	125	111	5	72	33
slc7a8b	2278	50	142	8	0	17	1	12	34
prmt5	2470	7	51	23	5	5	3	0	45
psmb11a	1128	5	27	13	0	0	1	0	0
psmb5	1311	12	41	330	123	117	27	57	25
LOC100007192	6699	314	710	1900	1252	752	149	551	478
gig2q	912	1	19	6	0	0	0	2	0
LOC100333325	1839	9	30	8	0	0	0	0	42
lrrc16b	7849	276	567	976	928	296	123	148	229
si:ch211-119o8.4	1023	28	90	2	8	0	0	4	0
rem2	1569	40	100	124	50	82	27	73	56
