Geneid	length	WT_Pmm2_8_1	WT_Pmm2_8_4	WT_Pmm2_8_2	WT_Pmm2_8_3	Mutant_Pmm2_8_1	Mutant_Pmm2_8_2	Mutant_Pmm2_8_5	Mutant_Pmm2_8_3	Mutant_Pmm2_8_4
adgrl1.1	1474	17	80	48	2	2	25	18	1	9
si:ch211-236p5.3	4337	17	41	9	9	1	7	4	3	2
LOC101884874	1376	2	31	30	3	0	18	8	3	10
LOC101884937	3610	143	2122	1072	85	69	687	289	94	144
LOC101884341	1784	72	973	425	43	27	281	141	41	64
LOC101884985	4257	72	823	464	40	27	385	110	18	78
LOC103909543	1669	11	31	0	5	0	13	3	1	2
LOC108190761	1589	4	36	27	6	1	11	6	4	6
tmed1b	1340	29	207	168	13	13	180	93	29	50
dnm2b	2975	120	1347	658	88	49	433	249	52	121
LOC566119	1061	0	10	6	0	1	6	2	3	3
LOC100334800	1175	1	29	2	0	0	8	1	0	6
zgc:171687	1454	4	7	3	3	0	10	6	5	4
zmp:0000001172	1733	0	14	1	0	0	0	0	0	0
LOC108179043	1872	39	182	102	27	12	145	62	18	53
LOC101886340	620	51	508	237	32	15	130	71	11	43
LOC101886403	374	0	53	20	2	0	25	10	4	1
sh2d3a	3157	36	413	226	24	5	62	59	19	32
eri2	1350	5	106	57	9	9	84	36	8	26
thumpd1	1361	27	609	221	24	18	282	108	20	68
LOC101882962	398	1	87	14	1	2	6	10	6	3
LOC110439700	404	2	18	5	2	0	4	5	1	2
LOC110439995	830	9	120	30	1	0	24	8	0	9
cdc37	1472	221	1874	968	122	66	1182	414	96	255
zgc:153247	1720	10	232	135	20	17	54	39	6	26
LOC101884216	407	28	211	69	17	2	52	36	9	12
zgc:76872	1369	160	1426	852	88	69	610	202	49	130
pin1	742	204	1292	499	79	137	889	237	60	120
si:zfos-2330d3.1	1896	2	38	11	4	2	19	10	2	4
LOC100007488	1469	5	26	38	21	11	144	54	1	75
si:zfos-2330d3.3	1144	2	1	13	2	2	1	5	0	6
zgc:173915	1089	0	78	23	1	0	6	7	2	6
mfap4	1129	7	57	32	5	1	11	2	2	8
wu:fj11g02	1047	4	24	5	2	0	4	3	1	3
LOC108179162	2227	4	4	3	3	0	5	0	0	3
si:zfos-2330d3.6	1188	0	37	13	7	2	14	4	1	1
LOC555374	990	3	2	3	6	0	5	3	0	0
si:zfos-2330d3.8	1101	3	17	4	3	3	23	11	14	7
si:ch1073-110a20.2	1226	0	21	4	7	0	1	1	5	1
si:ch1073-110a20.3	949	0	1	8	9	2	0	4	0	5
si:ch1073-110a20.1	1281	19	7	12	7	0	6	11	1	8
LOC108187081	974	38	311	177	17	29	417	139	38	85
LOC556363	2155	80	566	293	44	66	650	284	77	130
soul5l	1850	12	103	47	17	12	56	20	1	16
LOC103909566	1066	2	13	12	2	0	10	7	1	0
wu:fk65c09	1712	12	9	4	13	1	8	5	0	2
LOC100007608	5274	170	1888	940	103	44	512	298	73	124
lpar2b	2347	58	741	381	33	9	289	133	46	66
akap8l	2351	425	7020	2718	183	194	1496	908	256	442
mvb12a	1399	19	187	71	10	6	136	46	9	26
olfm2b	3806	41	305	158	22	10	122	63	12	50
col5a3b	5708	349	3717	2900	171	103	733	514	135	161
rdh8b	2088	78	1108	355	40	55	360	112	40	77
txndc11	4144	41	439	232	18	31	379	133	44	64
parn	2510	123	1055	547	57	47	405	187	43	98
LOC108190785	1335	7	129	36	10	8	47	23	2	9
LOC100535454	1933	15	203	97	4	4	99	53	6	10
cyp3a65	2008	1691	22764	9891	691	661	3494	1732	674	1073
mslnb	9833	324	4526	1891	177	189	2521	1188	279	550
LOC100330916	39605	212	1358	616	93	103	334	278	55	104
LOC103909584	1336	0	68	17	4	7	36	12	3	1
zgc:77358	1403	0	0	4	0	0	11	0	1	0
zmp:0000001082	4065	57	388	173	40	5	230	81	31	34
wfikkn1	2244	3	22	4	7	0	13	1	0	4
LOC101884641	1052	2	14	8	3	0	20	4	0	3
zmp:0000000625	1394	38	153	95	7	3	84	14	5	19
dnm3b	1544	103	1648	770	66	13	373	208	53	66
zgc:158345	1122	75	1159	557	33	30	269	149	39	60
LOC101884938	1347	75	1357	700	52	36	283	232	52	72
LOC101885099	1353	145	959	456	65	62	452	166	48	82
zgc:153913	2270	27	175	100	31	18	188	73	15	53
cldn1	711	94	870	443	34	28	197	94	30	50
LOC100536119	786	28	397	207	22	17	166	59	20	36
LOC100331268	4655	42	437	209	20	10	72	52	9	34
angptl1b	1793	8	47	40	23	0	18	2	0	8
tada1	1032	16	276	110	18	8	76	32	9	33
fggy	1851	8	453	243	21	7	155	61	21	26
znfl2a	1063	5	64	49	12	3	28	18	2	19
igfbp1b	1299	73	1270	306	32	46	491	239	122	239
adcy1b	2561	54	1664	522	30	21	347	125	43	61
zgc:154086	2804	2	93	28	5	4	58	16	7	15
zgc:113518	2723	19	252	114	13	5	120	40	6	15
LOC101885894	1301	13	36	5	3	0	12	7	0	6
znf1014	4940	85	393	182	18	28	356	72	31	52
LOC100332787	1874	29	247	116	19	7	124	45	21	32
LOC101886047	3507	12	317	110	25	3	78	36	14	10
zgc:113293	1537	0	9	2	10	0	4	2	1	1
dhx30	3741	51	348	131	35	25	151	79	16	18
LOC570723	1883	15	159	70	8	5	41	39	10	22
LOC101886255	1493	8	114	57	16	13	24	29	6	11
phlpp1	8491	538	5785	2238	287	315	1714	687	194	450
si:ch73-40a17.3	2787	213	1705	886	129	62	480	254	56	133
si:ch73-40a17.4	2619	5	81	57	13	5	34	8	5	14
znf1008	2005	18	72	23	7	9	43	12	3	5
LOC101886546	4580	27	109	83	18	12	86	23	5	10
zgc:113452	3932	9	289	80	12	17	106	28	13	24
LOC794642	2417	39	468	188	17	10	162	68	20	25
zgc:174263	4229	107	882	366	37	24	326	173	43	90
LOC110437952	1306	24	176	118	16	10	195	71	17	38
si:dkey-33c14.3	896	837	4053	2544	538	299	4293	1691	311	1139
LOC101882185	487	1	22	16	0	1	20	5	4	4
sharpin	4141	90	795	450	51	21	274	130	39	84
si:dkey-33c14.6	2162	23	255	73	19	4	65	33	4	25
si:dkey-33c14.7	482	0	32	0	3	0	7	1	0	3
wrnip1	2248	2	78	46	3	12	52	23	2	33
mylk4a	4342	309	802	464	134	63	783	334	54	123
foxc1a	2180	95	1065	470	45	45	332	182	38	74
ftr93	2390	20	67	16	11	0	38	21	10	18
foxf2a	1549	35	260	100	12	18	101	48	10	21
foxq1a	1392	52	548	196	36	9	187	117	22	30
irf4a	2371	17	88	19	9	0	21	4	6	2
dusp22b	1300	17	153	46	11	10	95	41	12	29
ripk1l	2137	33	202	122	10	12	146	45	14	44
LOC101885450	1257	34	248	63	12	7	51	22	3	13
si:ch211-241e1.5	1828	18	425	182	15	8	199	52	17	43
si:ch211-241e1.3	4530	82	250	162	39	23	356	122	46	82
cacna1eb	10109	146	1270	584	112	28	396	157	37	95
polr2d	633	54	392	231	32	27	300	105	25	74
LOC100331077	2208	21	51	24	16	0	48	8	2	5
LOC100331149	2127	49	219	111	23	3	68	21	12	20
abcf3	1078	34	378	154	16	12	236	82	22	33
znf521	4102	294	2780	1231	84	65	821	366	99	184
ss18	2103	317	1815	1092	123	99	777	329	67	252
dsg2l	3700	92	838	483	52	37	402	172	51	134
si:ch73-140j24.4	4333	63	441	203	44	15	157	54	20	40
rpe65a	1708	349	2039	893	132	72	994	399	99	258
gpaa1	3031	29	231	148	14	13	125	53	14	35
si:ch211-188c16.1	2699	10	56	34	30	2	19	19	3	6
c8a	2037	50	205	165	28	14	164	60	9	53
c8b	2270	49	347	178	37	12	167	42	19	43
dab1b	3694	87	799	451	58	34	268	113	35	103
prkacbb	4957	287	1666	893	129	82	938	393	82	254
si:ch1073-339l18.2	592	0	2	1	0	0	0	1	0	1
LOC110437908	423	0	18	4	8	0	15	2	1	0
LOC110437953	2255	115	887	492	41	26	446	159	43	82
LOC100538279	4126	98	589	295	51	19	246	111	25	67
LOC100535070	2227	26	93	41	15	1	61	23	7	11
exosc4	1602	46	231	128	4	31	116	60	9	33
bcl10	1797	10	143	52	25	2	120	19	8	13
mcoln3a	2151	11	63	47	3	7	40	24	13	19
ssx2ipa	2680	65	472	212	37	26	219	100	28	53
tubb2	1597	62	622	275	55	20	267	79	41	50
slc22a23	4805	145	1203	545	50	36	374	200	46	132
dspa	8198	919	4689	2764	412	260	3058	1311	295	768
higd1a	1263	75	171	75	33	22	264	115	21	77
ccdc13	4062	29	122	44	30	0	29	25	6	14
tmie	1334	21	150	72	11	3	47	30	6	20
pth1ra	2114	50	390	154	53	15	164	48	25	45
mir460	77	0	2	2	0	0	0	1	0	0
myl13	840	967	8849	3544	379	383	2921	1608	427	620
LOC100335005	1787	38	193	71	21	16	50	28	10	44
LOC108179023	526	25	310	106	7	23	159	80	21	30
LOC402879	3115	39	332	112	22	16	136	58	17	56
serbp1b	3151	1045	11683	4906	550	568	3936	1777	483	1134
aqp1a.1	1176	101	688	381	45	43	390	198	43	131
aqp1a.2	1568	10	11	17	10	0	52	0	0	8
thoc1	2071	39	537	275	38	39	303	129	29	85
usp14	2207	56	700	359	31	35	480	186	53	114
rock1	6520	312	2982	1521	166	140	1339	633	156	349
eif2b5	1832	98	1255	518	34	50	579	317	91	124
LOC101882074	663	7	6	4	2	5	1	3	1	0
si:ch1073-82l19.1	2621	5	72	65	7	3	29	14	9	5
pik3r3a	3463	92	364	124	78	25	373	170	47	94
ipp	2975	32	283	117	15	7	107	53	18	33
guk1a	3614	205	1013	622	108	77	1073	335	72	266
zgc:63882	5235	28	295	170	40	33	218	64	17	43
arf1	5093	146	680	514	79	63	1204	405	101	327
wnt3a	3913	34	218	85	28	7	79	55	9	24
wnt9a	1152	17	200	93	0	2	50	35	8	10
snap47	2360	54	548	255	43	12	198	104	38	52
jmjd4	1776	40	190	100	28	6	110	41	15	24
iba57	1654	55	429	183	22	17	171	97	19	41
LOC101887081	2859	4	40	18	7	0	10	11	0	12
cyp8b1	1975	33	258	181	34	12	168	64	15	27
cyp8b2	1967	13	8	11	7	0	14	4	2	7
cyp8b3	1951	0	5	11	0	1	0	0	0	2
cx47.1	2545	15	111	38	19	0	53	20	2	4
zgc:92744	1000	308	2294	1028	147	211	1511	433	107	461
fuz	2428	29	148	58	9	7	78	32	4	21
gpt2l	5646	361	2947	1374	229	139	1541	712	190	410
c1ql3b	1430	27	111	31	7	6	32	11	1	3
pter	1204	28	320	150	34	17	73	58	11	39
mmp16b	3100	63	738	281	30	14	240	131	28	52
LOC108179498	162	0	2	5	5	0	0	0	0	2
egfra	6170	154	1486	721	128	77	764	317	104	216
npc1	5157	262	2382	1083	126	107	1293	569	169	364
mpp7b	1198	2	42	16	9	1	5	6	0	4
mkxb	1224	25	64	47	6	13	35	29	5	3
LOC110437954	2942	18	87	25	17	6	68	28	4	17
rab18b	1714	111	919	462	44	47	772	313	81	189
LOC100331480	3622	13	74	45	4	2	36	16	6	18
yme1l1b	4011	87	769	339	59	28	357	125	48	125
mib1	5579	453	3904	1667	200	197	1459	635	137	386
mir133a-1	99	3	5	15	4	2	9	5	1	5
mir1-2	87	0	19	10	0	0	16	3	1	5
gata6	2886	101	1071	614	57	49	381	261	48	119
LOC110437955	737	1	7	4	0	0	0	0	0	0
cables1	5581	107	784	355	52	13	273	139	46	77
wacb	1494	43	254	167	12	3	111	54	16	26
bambib	1418	28	188	115	19	14	114	42	10	43
adipoqb	1115	10	18	8	3	0	11	0	0	3
tmtopsa	1186	10	71	48	7	2	22	19	0	11
LOC101886376	270	0	19	3	3	0	9	1	1	0
tnk2b	6696	176	1607	872	100	60	766	316	87	205
tfr1a	8097	161	402	478	97	29	361	138	31	92
si:ch211-162e15.3	575	41	226	134	14	22	155	55	9	31
dlg1l	7933	469	5728	2827	217	189	2197	1007	260	530
LOC108182396	1240	3	32	14	11	3	31	9	8	8
ptmab	1026	1466	6159	4329	719	313	3559	1345	354	1219
phb2a	1512	95	664	410	58	39	506	222	61	87
pex5lb	2767	31	571	260	27	14	122	79	20	23
gnb4a	2228	82	680	299	31	30	247	133	43	71
mfn1a	4320	64	570	203	21	20	103	35	23	41
si:ch1073-184j22.1	1890	54	313	129	46	7	177	44	18	40
si:ch1073-184j22.2	2378	26	126	73	17	6	47	27	6	12
sft2d3	1647	21	226	82	6	12	96	66	15	19
wdr33	5069	216	1969	1088	123	93	878	418	102	209
dusp28	2017	7	91	25	11	1	40	16	4	6
proca	1638	28	225	110	16	10	44	18	20	26
saga	3311	95	704	464	61	16	150	45	13	55
cldn15la	935	43	366	271	41	14	263	146	23	82
crfb16	1961	25	174	70	30	9	166	35	22	30
parla	1672	29	209	84	40	8	109	49	16	20
LOC110437956	360	5	23	5	6	2	6	3	0	0
mb21d2	2798	37	410	188	31	14	88	39	11	22
fgf12a	3482	57	833	369	70	22	315	130	32	76
cwc25	1939	133	885	434	75	45	618	180	42	179
sst2	540	11	10	20	7	4	46	6	5	10
nyap2b	4188	150	1554	673	72	30	354	167	59	114
slc35d1b	1607	20	185	88	25	19	144	35	6	14
mier1b	3776	136	498	301	75	26	239	101	23	106
si:ch211-273k1.5	793	4	19	1	1	0	9	1	0	0
dis3l2	3531	101	687	378	63	36	370	155	35	70
si:ch211-168b3.1	3462	76	796	313	54	20	211	134	39	68
tmem125b	4139	33	221	80	16	22	142	35	8	25
slc1a7a	2006	23	162	72	16	3	29	31	14	15
scp2a	2367	447	3483	1763	201	102	1087	447	92	379
si:ch211-284b7.3	710	20	100	74	23	9	109	34	9	24
uck2b	1822	104	355	216	47	50	295	128	27	74
aldh9a1b	2027	22	137	82	15	3	68	37	11	22
zte38	1384	8	0	0	6	0	8	0	0	3
prdx1	1225	30	154	80	28	13	218	90	23	46
fzr1b	2167	77	1172	498	43	33	301	135	39	79
si:ch73-182a11.2	3890	59	327	147	32	4	109	60	15	33
si:ch73-344o19.1	2034	34	255	140	29	7	97	61	14	41
LOC108192159	1788	4	23	5	15	0	4	3	8	3
gng5	859	56	241	167	28	14	146	91	20	61
zp3b	1734	11	45	6	7	0	26	3	1	4
arl14	1029	15	96	37	5	5	61	26	2	9
ppm1la	2652	146	2103	751	103	83	459	272	73	143
otol1a	1520	6	29	22	9	7	11	9	2	5
si:dkey-119f1.1	3748	72	395	206	32	15	201	83	14	61
rgs13	1279	24	27	28	13	1	20	6	2	6
rgs1	1256	10	21	2	11	0	30	4	2	2
rgs18	1797	1	43	30	18	0	15	3	4	5
brinp3b	3876	33	203	162	31	10	84	51	13	20
rgs5b	1030	15	83	55	13	7	79	33	10	12
nos1apb	4878	115	985	384	54	27	190	124	23	67
ddr2b	3018	40	388	146	25	14	142	49	12	51
xpr1b	3665	142	1405	698	110	71	649	294	72	249
cdc14aa	2755	54	270	127	31	17	110	30	20	34
vcam1a	2210	11	25	24	6	3	8	3	0	4
extl2	1482	27	81	47	7	5	17	16	0	8
zgc:110366	1617	31	92	50	18	6	53	10	7	22
rc3h1b	9266	348	4097	1937	206	115	1737	836	192	426
si:ch211-13f8.1	4422	77	900	424	53	9	240	166	18	51
si:ch211-13f8.2	2146	24	110	38	17	3	18	11	6	15
zgc:153115	4289	115	348	284	66	58	303	162	48	107
si:dkeyp-106c3.1	9315	121	847	394	69	29	378	145	46	101
LOC100001550	1009	0	0	0	0	0	0	0	0	0
asip2b	749	31	107	106	8	7	120	44	7	19
LOC103910208	1013	2	5	2	1	0	5	1	0	0
trnak-cuu_1	73	0	0	0	0	0	0	0	0	0
trnan-guu	74	0	0	0	0	0	0	0	0	0
trnak-cuu_2	73	0	0	0	0	0	0	0	0	0
trnan-guu_1	74	0	0	0	0	0	1	0	0	0
trnak-cuu_3	73	0	0	0	0	0	0	0	0	0
trnak-cuu_4	73	0	0	2	0	0	0	0	0	0
LOC101882730	409	0	0	0	0	0	0	0	0	0
LOC103909749	175	0	0	1	0	0	0	0	0	0
trnak-cuu_5	73	0	0	0	0	0	0	0	0	0
trnak-cuu_6	73	0	0	0	0	0	0	0	0	0
trnan-guu_2	74	0	0	0	0	0	0	0	0	0
ripk2	1722	49	276	125	34	12	214	76	16	52
LOC110437957	1163	14	75	54	5	7	46	35	8	18
LOC100150834	727	16	388	192	18	13	178	103	29	53
ccdc39	1017	14	23	21	4	2	14	14	3	2
LOC799574	521	21	41	18	10	14	86	36	2	21
wu:fc46h12	690	120	584	413	76	44	513	159	29	93
dcun1d1	1594	44	182	113	17	11	175	69	15	46
eif4a2	1954	263	1965	817	105	68	579	347	66	186
b3gnt5b	1810	19	96	38	13	6	63	37	2	28
tbl1xr1b	2454	168	1375	634	48	46	606	267	71	154
kcnmb2	1179	15	94	42	7	7	40	29	3	15
si:ch211-38m6.7	1396	5	28	4	21	1	11	4	6	9
si:ch211-38m6.6	2417	3	88	40	14	3	34	12	4	13
ephb3a	4675	234	2049	936	111	43	685	305	64	159
pcolce2a	2154	0	50	20	11	2	47	14	1	14
pls1	3938	65	449	228	35	29	340	143	13	76
chst2a	2160	126	1260	551	60	45	452	205	62	109
LOC103909784	8050	3	12	13	4	0	12	8	0	2
dia1a	1858	104	647	324	32	26	285	104	27	73
si:ch211-222m2.1	946	0	0	0	0	0	0	0	0	0
si:ch211-71m22.1	1788	12	80	54	7	13	44	40	7	23
LOC103909778	2405	2	23	27	1	0	7	3	0	2
si:ch211-71m22.5	1326	16	36	44	25	0	49	6	1	20
si:ch211-71m22.3	1584	15	18	10	6	0	30	0	3	11
fubp1	4988	703	5617	2643	244	253	2334	1106	272	686
fam73a	2817	66	797	343	35	32	313	124	38	90
usp33	3858	150	1797	849	99	84	932	325	117	176
zzz3	4334	195	1334	697	93	56	600	311	64	144
ak5	1692	55	580	286	75	10	147	71	19	61
pigk	1482	20	143	87	13	2	98	9	4	24
st6galnac5a	2051	38	323	123	16	0	108	38	14	13
st6galnac3	1636	48	474	239	24	11	140	56	16	54
cope	1096	51	786	335	45	122	1625	554	95	328
slc25a24l	1815	3	9	1	13	0	3	4	1	5
dnajb4	1948	33	448	139	26	22	168	70	13	39
gipc2	1803	67	341	262	23	25	216	116	32	85
txndc12	2241	69	284	157	35	29	203	87	28	62
zmp:0000001127	709	0	7	0	5	0	3	1	0	2
zgc:153615	1860	127	996	444	50	18	273	197	51	92
wu:fi34b01	2244	9	12	6	13	2	8	3	2	4
LOC103909783	1702	12	20	6	2	1	8	4	0	0
selt1a	1341	286	1351	737	135	139	979	343	83	281
dvl3a	3009	77	565	280	65	17	198	105	29	73
LOC101886800	1012	19	82	37	6	19	133	17	13	27
LOC108179500	2322	3	15	0	4	0	2	5	0	1
pcyt1aa	2373	74	976	446	37	44	317	196	47	138
ap2m1a	2155	494	3477	1718	202	165	1749	831	215	526
anxa13l	1656	92	456	214	26	17	237	89	28	46
si:ch211-252f13.5	4482	17	177	66	16	3	52	17	2	25
abi1b	2057	110	809	432	70	20	312	135	41	70
acbd5b	1520	12	75	42	18	0	44	11	6	20
tsen15	904	34	209	86	15	2	97	28	12	29
zgc:55943	2071	104	651	342	14	27	310	144	26	80
sec22ba	1667	25	151	98	20	23	476	169	35	124
imp3	907	30	90	44	17	4	81	42	7	27
slc35a3b	2233	22	57	43	14	6	56	10	6	27
fam78ba	2697	42	595	281	37	24	274	121	30	59
cmpk	1610	132	641	431	83	101	1080	370	98	314
bcl6ab	2336	57	451	181	56	50	220	131	20	65
insl5b	374	0	5	4	1	0	0	0	1	1
ahsg2	1488	62	194	87	29	4	23	13	4	23
pfn2l	2817	705	3222	2041	369	196	2660	1030	224	618
nsun4	1394	13	118	55	8	2	71	30	10	11
dmbx1a	1409	63	611	325	49	7	230	83	37	53
gadd45aa	1231	32	179	69	31	16	410	123	33	81
gng12a	1785	19	119	101	37	7	110	43	7	23
wls	2620	176	1291	644	74	74	714	280	72	175
scinlb	2867	120	958	537	94	31	341	173	48	112
si:dkeyp-1a11.3	4785	40	526	206	47	20	113	66	29	53
mtf2	2324	40	251	195	35	15	104	88	20	32
fam69aa	3029	35	251	81	13	10	158	51	14	38
rpl5a	1039	3060	30972	12175	1467	2028	14860	6280	1517	3773
evi5a	2508	24	91	52	14	2	43	17	7	19
gfi1aa	1455	9	111	47	15	3	53	15	4	4
rpap2	2905	32	182	83	7	18	199	61	16	30
glmna	2758	64	339	224	27	22	276	81	29	64
cdc7	2246	3	44	24	8	3	23	22	2	12
tceanc2	1004	10	27	28	4	0	41	10	2	8
cdcp2	1895	2	54	30	14	2	26	7	1	9
mrpl37	1490	85	652	349	33	39	406	158	33	84
ssbp3a	3314	49	734	296	57	24	296	147	26	73
acot11a	2307	89	457	239	46	13	165	74	19	58
fam151a	2250	47	291	113	28	2	124	23	11	38
lrrc53	3980	29	118	71	18	2	48	18	13	18
cryz	2192	13	167	111	33	5	130	41	9	36
tyw3	1431	33	235	96	23	14	149	46	9	34
lhx8a	2175	30	111	51	9	5	109	17	7	10
slc44a5a	3156	30	337	159	47	16	136	73	12	29
LOC108179505	3358	1	27	32	4	1	3	8	1	9
LOC110437982	1523	32	238	209	22	2	206	85	19	40
sdr16c5a	1381	65	368	213	36	30	239	69	19	63
penka	1434	57	219	96	12	10	182	68	23	48
LOC103909850	218	20	97	33	2	1	6	19	6	14
impad1	1633	75	796	308	37	74	830	364	79	195
zgc:110130	1627	78	247	127	41	4	133	49	10	36
ftr01	2346	6	108	30	26	10	60	15	5	19
greb1l	9245	76	761	362	80	20	346	148	53	96
abhd3	1448	22	162	93	19	4	78	50	12	3
trove2	2030	50	596	195	31	8	237	93	18	49
cdc73	2748	124	1496	618	107	65	805	287	95	182
LOC101882239	2792	63	376	181	18	8	172	61	15	48
kcnt2	3982	20	71	47	19	1	60	15	8	11
gpr158b	6959	109	1111	504	96	31	388	183	44	102
prtfdc1	2001	30	173	89	9	9	52	32	5	33
arhgap21b	7994	445	4402	2334	234	141	1429	698	207	376
dpp6b	4660	284	2045	813	109	97	844	371	83	202
LOC110437990	1447	4	14	10	2	1	11	6	3	12
kmt2cb	17113	925	9724	5300	540	362	3738	1613	405	906
prkag2b	3645	85	483	224	25	12	273	79	22	73
bcl2b	2782	77	1482	525	66	39	487	193	68	142
kdsr	2238	68	683	297	44	44	340	134	38	94
vps4b	2996	190	1008	526	82	87	910	292	95	232
LOC103909876	508	0	0	1	2	0	3	1	0	0
LOC108179526	1190	0	10	2	4	0	2	0	2	0
nmur1b	1466	6	26	19	1	3	20	3	0	1
cfap57	3398	22	174	77	12	8	88	60	4	25
LOC103909878	2281	5	14	33	7	0	23	3	1	3
LOC100538044	425	0	43	20	4	4	40	14	0	6
ebna1bp2	1070	31	379	263	26	12	255	149	25	72
zbtb41	4391	92	857	423	70	27	404	133	25	110
LOC101884153	913	3	51	21	4	1	15	6	1	7
LOC101884121	1576	13	87	39	4	3	36	7	2	15
zgc:66475	3109	49	405	190	51	13	154	79	18	45
LOC101884781	793	5	0	8	7	0	6	0	0	8
LOC103909867	2175	4	24	6	4	0	1	0	1	1
LOC100331996	3104	35	182	83	80	4	83	77	12	34
LOC103909885	795	0	0	0	0	0	0	0	0	0
zcchc3	1238	0	1	0	2	0	4	1	1	0
tctex1d1	755	0	19	8	1	2	0	5	3	2
sgip1b	5240	124	1254	665	63	38	333	188	41	102
LOC108179562	2632	9	85	29	18	0	43	16	1	8
LOC103909892	1386	0	51	17	10	4	31	2	2	13
pde4bb	3173	100	856	374	39	33	284	139	38	78
LOC110438174	778	5	93	26	1	2	43	7	3	4
LOC108179575	4778	345	2953	1614	252	113	936	448	135	235
LOC103909893	399	2	8	4	3	0	9	0	0	0
LOC101882800	751	0	42	30	2	0	17	6	5	1
leprot	1566	39	183	123	20	8	121	61	16	38
LOC110438160	2267	0	0	0	0	0	0	0	0	0
si:dkey-34k9.3	3344	3	64	10	3	0	18	0	0	7
LOC101882443	1132	0	10	4	0	0	0	0	0	5
LOC110437999	762	0	3	1	7	0	0	1	4	0
LOC101882511	4817	8	31	15	5	0	17	6	3	5
hccsa.2	908	0	11	2	2	0	0	5	0	0
pimr55	2930	11	37	9	2	2	30	5	2	1
hccsa.1	1666	43	255	146	22	16	134	58	23	44
si:dkey-10f21.4	3256	34	67	56	9	5	58	14	0	15
cnn3b	1943	37	165	92	32	0	74	39	8	26
f3b	2099	54	107	70	22	11	155	35	10	38
abcd3b	1980	32	304	78	30	16	229	46	20	65
arhgap29b	6631	141	1337	625	87	59	701	286	90	183
abca4b	7497	173	1255	668	77	46	258	115	32	84
tecrl2b	1308	35	72	32	17	7	26	6	3	9
olfm3b	3428	14	82	24	14	6	45	8	2	8
col11a1b	7435	903	4225	3443	442	207	1941	927	219	414
LOC100001444	2042	0	2	3	0	1	1	0	1	0
amy2a	1606	1128	9723	2826	532	354	4076	1305	221	1271
LOC559501	2994	41	455	235	28	13	151	118	33	36
LOC101885853	2305	7	8	11	0	0	7	2	3	6
vav3b	4397	45	136	90	20	0	65	28	16	15
selj	1408	51	317	143	19	5	124	72	16	35
sh3glb1b	1853	118	1404	499	54	41	519	191	48	148
arhgef4	11572	732	7594	4101	452	293	3319	1561	403	870
si:dkey-231j24.3	4193	74	619	280	57	21	194	84	18	33
atr	8416	44	563	270	59	21	324	108	43	66
zgc:110269	1453	34	104	65	26	6	54	43	5	24
agfg1b	2356	51	453	303	24	27	237	101	30	62
fbxo36b	946	2	18	7	4	0	0	0	2	6
LOC103910036	5278	18	58	42	30	4	31	17	1	8
LOC100002071	515	7	0	1	1	0	0	1	2	0
LOC101886306	145	0	3	0	0	0	0	2	0	0
LOC108179626	272	0	4	0	0	0	11	0	0	0
grk7a	3154	482	2586	1402	196	75	1038	450	116	167
atp1b3a	2783	276	1412	595	103	53	627	235	64	175
si:dkeyp-13a3.10	1361	23	93	65	18	12	40	16	7	23
xrn1	6628	214	1565	836	120	104	952	381	104	268
gk5	3234	40	231	148	32	5	217	61	20	42
ppp1r7	2414	121	775	455	66	33	360	170	36	94
ubxn7	2140	68	1122	461	66	60	319	157	39	91
tfa	2224	1541	6274	8539	1126	658	7377	3218	866	2279
eif4g1a	6665	684	7350	3875	347	308	4866	2123	542	949
fam131a	2468	58	516	230	44	20	153	70	21	51
clcn2a	4566	44	364	181	40	5	93	40	17	22
thpo	867	2	8	4	2	0	5	1	2	1
pif1	2456	15	20	21	16	0	17	6	3	18
ptger4c	1488	1	66	10	15	2	28	15	1	6
LOC101883396	3628	29	78	17	14	4	50	25	7	7
st3gal3b	2926	97	905	404	50	37	386	169	42	90
kdm4ab	4353	168	1873	867	84	59	788	325	90	152
ptprfb	8591	769	7378	3665	371	332	3243	1499	366	745
LOC101886917	1216	0	12	0	0	0	0	0	1	0
LOC101883512	405	0	4	1	0	0	0	0	0	1
im:7152688	1012	3	16	9	1	3	6	2	0	6
LOC100000636	545	8	5	0	0	0	1	0	0	8
pbx1a	2965	198	1570	780	92	30	468	230	72	138
glula	1968	1432	9701	3643	588	428	4787	1834	484	1301
si:dkey-225f23.5	2906	10	237	113	32	9	74	37	15	18
si:dkey-225f23.3	1143	7	54	8	4	0	19	4	9	8
si:dkey-225f23.4	777	7	0	6	10	5	14	1	2	4
elovl1a	2052	27	81	35	21	8	131	49	10	52
cdc20	2206	16	65	61	20	3	44	18	5	21
cc2d1b	3739	98	807	437	55	44	440	228	64	148
zfyve9a	5241	138	2072	861	84	62	709	327	91	187
pimr141	1377	1	3	2	0	0	0	1	0	2
LOC103910038	1008	2	4	17	3	3	7	1	0	0
pimr54	2344	14	7	2	0	0	10	4	1	3
pimr49	2109	8	4	5	2	0	0	0	0	1
LOC110438023	3147	1	34	13	1	0	23	5	2	4
pimr140	1496	0	6	10	0	2	11	6	1	1
LOC110438022	888	0	5	2	2	0	1	0	0	1
pimr51	2094	18	80	14	9	2	14	5	2	8
pimr50	1393	0	6	3	0	0	1	0	1	0
LOC110438024	3545	4	23	11	0	0	13	9	3	7
