Geneid	length	WT_Pmm2_6_5	WT_Pmm2_6_3	WT_Pmm2_6_1	WT_Pmm2_6_4	Mutant_Pmm2_6_3	Mutant_Pmm2_6_2	Mutant_Pmm2_6_5	Mutant_Pmm2_6_1
trnai-aau_35	74	0	0	0	0	0	0	0	0
trnaf-gaa_36	73	0	0	0	0	0	0	0	0
trnaa-agc_30	73	1	0	0	0	2	0	0	0
trnaq-cug_43	72	0	0	0	0	0	0	0	0
trnai-aau_36	74	0	0	0	0	0	0	0	0
trnaf-gaa_37	73	0	0	0	0	0	0	0	0
trnaa-agc_31	73	0	0	0	0	0	0	0	0
trnaq-cug_44	72	0	0	0	0	0	0	0	0
trnai-aau_37	74	0	0	0	0	0	0	0	0
trnaf-gaa_38	73	0	0	0	0	0	0	0	0
trnaa-agc_32	73	0	0	0	0	0	0	0	0
trnaq-cug_45	72	0	0	0	0	0	0	0	0
trnai-aau_38	74	0	0	0	0	0	0	0	0
trnaf-gaa_39	73	0	0	0	0	0	0	0	0
trnaa-agc_33	73	0	0	0	0	0	0	0	0
trnaq-cug_46	72	0	0	0	0	0	0	0	0
trnai-aau_39	74	0	0	0	0	0	0	0	0
trnaf-gaa_40	73	0	0	0	0	0	0	0	0
trnaa-agc_34	73	0	0	0	0	0	0	0	0
trnaq-cug_47	72	0	0	0	0	0	0	0	0
trnai-aau_40	74	0	0	0	0	0	0	0	0
trnaf-gaa_41	73	0	0	0	0	0	0	0	0
trnaa-agc_35	73	0	0	0	0	0	0	0	0
trnaq-cug_48	72	0	0	0	0	0	0	0	0
trnai-aau_41	74	0	0	0	0	0	0	0	0
trnaf-gaa_42	73	0	0	0	0	0	0	0	0
trnaa-agc_36	73	0	0	0	0	0	0	0	0
trnaq-cug_49	72	0	0	0	0	0	0	0	0
trnai-aau_42	74	0	0	0	0	0	0	0	0
trnaf-gaa_43	73	0	0	0	0	0	0	0	0
trnaa-agc_37	73	0	0	0	0	0	0	0	0
trnaq-cug_50	72	0	0	0	0	0	0	0	0
trnai-aau_43	74	0	0	0	0	0	0	0	0
trnaf-gaa_44	73	0	0	0	0	0	0	0	0
trnaa-agc_38	73	0	0	0	0	0	0	0	0
trnaq-cug_51	72	0	0	0	0	0	0	0	0
trnai-aau_44	74	0	0	0	0	0	0	0	0
trnaf-gaa_45	73	0	0	0	0	0	0	0	0
trnaa-agc_39	73	0	0	0	0	0	0	0	0
trnaq-cug_52	72	0	0	0	0	0	0	0	0
trnai-aau_45	74	0	0	0	0	0	0	0	0
trnaf-gaa_46	73	0	0	0	0	0	0	0	0
trnaa-agc_40	73	0	0	0	0	0	0	0	0
trnaq-cug_53	72	0	0	0	0	0	0	0	0
trnai-aau_46	74	0	0	0	0	0	0	0	0
trnaf-gaa_47	73	0	0	0	0	0	0	0	0
trnaa-agc_41	73	0	0	0	0	0	0	0	0
trnaq-cug_54	72	0	0	0	0	0	0	0	0
trnai-aau_47	74	0	0	0	0	0	0	0	0
trnaf-gaa_48	73	0	0	0	0	0	0	0	0
trnaa-agc_42	73	0	0	0	0	0	0	0	0
trnaq-cug_55	72	0	0	0	0	0	0	0	0
trnai-aau_48	74	0	0	0	0	0	0	0	0
trnaf-gaa_49	73	0	0	0	0	0	0	0	0
trnaa-agc_43	73	0	0	0	0	0	0	0	0
trnaq-cug_56	72	0	0	0	0	0	0	0	0
trnai-aau_49	74	0	0	0	0	0	0	0	0
trnaf-gaa_50	73	0	0	0	0	0	0	0	0
trnaa-agc_44	73	0	0	0	0	0	0	0	0
trnaq-cug_57	72	0	0	0	0	0	0	0	0
trnai-aau_50	74	0	0	0	0	0	0	0	0
trnaf-gaa_51	73	0	0	0	0	0	0	0	0
trnaa-agc_45	73	0	0	0	0	0	0	0	0
trnaq-cug_58	72	0	0	0	0	0	0	0	0
trnai-aau_51	74	0	0	0	0	0	0	0	0
trnaf-gaa_52	73	0	0	0	0	0	0	0	0
trnaa-agc_46	73	0	0	0	0	0	0	0	0
trnaq-cug_59	72	0	0	0	0	0	0	0	0
trnai-aau_52	74	0	0	0	0	0	0	0	0
trnaf-gaa_53	73	0	0	0	0	0	0	0	0
trnaa-agc_47	73	0	0	0	0	0	0	0	0
trnaq-cug_60	72	0	0	0	0	0	0	0	0
trnai-aau_53	74	0	0	0	0	0	0	0	0
trnaf-gaa_54	73	0	0	0	0	0	0	0	0
trnaa-agc_48	73	0	0	0	0	0	0	0	0
trnaq-cug_61	72	0	0	0	0	0	0	0	0
trnai-aau_54	74	0	0	0	0	0	0	0	0
trnaf-gaa_55	73	0	0	0	0	0	0	0	0
trnaa-agc_49	73	0	0	0	0	0	0	0	0
trnaq-cug_62	72	0	0	0	0	0	0	0	0
trnai-aau_55	74	0	0	0	0	0	0	0	0
trnaf-gaa_56	73	0	0	0	0	0	0	0	0
trnaa-agc_50	73	0	0	0	0	0	0	0	0
trnaq-cug_63	72	0	0	0	0	0	0	0	0
trnaf-gaa_57	73	0	0	0	0	0	0	0	0
trnaa-agc_51	73	0	0	0	0	0	0	0	0
trnaq-cug_64	72	0	0	0	0	0	0	0	0
trnai-aau_56	74	0	0	0	0	0	0	0	0
trnaf-gaa_58	73	0	0	0	0	0	0	0	0
trnai-aau_57	74	0	6	0	0	2	0	0	0
trnaf-gaa_59	73	0	0	0	0	0	0	1	0
tmem98	1642	133	117	65	92	113	49	34	104
si:dkeyp-57f11.2	5360	1039	1043	534	1358	550	446	159	822
cdk21	2815	0	12	7	3	44	9	3	10
retsat	2465	268	247	147	327	134	112	35	201
zgc:154169	2416	52	34	36	55	61	46	7	29
si:ch211-232p21.6	935	0	6	0	0	1	4	0	2
LOC101886459	465	6	0	0	6	1	0	0	0
LOC110438754	507	6	12	0	5	5	3	3	1
nmt1a	1995	991	948	376	1180	569	481	207	779
plcd3a	6706	568	704	334	644	386	242	138	458
arhgap23a	10711	2451	2774	1018	3705	1334	1043	519	1792
zgc:100868	3797	349	1386	298	1780	381	984	420	537
LOC101886825	891	2	4	0	5	12	0	0	7
LOC110437807	646	0	0	0	0	1	0	0	0
zgc:165423	2040	321	464	237	535	291	185	46	410
si:ch211-198p11.6	1895	27	63	11	34	6	9	6	22
aldoaa	1753	5748	5160	2347	5892	2650	3422	819	3743
cln3	1810	205	153	76	187	168	80	47	168
prpsap2	2550	380	450	238	651	331	269	114	399
si:dkey-27o4.1	8315	213	196	145	344	176	180	54	218
grapa	1419	73	53	34	59	51	21	12	41
epn2	6432	1462	1325	729	1813	841	774	323	1055
b9d1	1468	119	92	26	121	137	50	25	112
cacna1ha	7698	985	1003	468	1361	470	261	180	618
ccdc97	1528	100	67	47	161	68	45	23	61
llgl1	5655	476	597	354	708	364	189	105	308
myo15aa	7760	377	502	213	608	375	156	86	343
drg2	1841	295	273	117	457	323	169	99	355
gfer	918	120	105	74	94	55	114	18	69
syngr3a	2817	1094	1083	394	1235	535	455	155	616
znf598	3301	1271	1249	546	1563	655	857	267	1035
flii	3878	728	759	453	1164	483	408	146	473
top3a	3059	91	98	43	157	113	64	27	71
smcr8a	4728	346	371	142	553	255	142	70	281
shmt1	1776	243	274	192	425	158	166	28	215
pdap1b	1249	280	257	79	348	239	288	43	224
bud31	687	223	175	55	164	125	128	25	128
cpsf4	1907	173	201	118	237	186	96	43	178
atp5j2	850	720	922	482	969	445	551	174	624
slc29a4	2688	235	250	166	350	115	76	34	120
LOC101883550	3458	5	3	0	0	0	0	0	0
tnrc18	12890	7366	7284	2405	9381	3364	2624	1532	5180
actb2	1767	54125	51425	24390	70421	20791	19197	9888	39675
fscn1a	2465	1483	1536	852	1768	553	514	208	856
rnf216	2947	440	520	202	679	273	178	101	357
si:dkey-33c3.1	1551	0	8	9	22	26	5	2	2
smurf1	4453	1206	1177	453	1482	559	389	221	835
arpc1a	1686	883	992	491	1049	523	610	160	767
arpc1b	1532	155	256	89	340	121	154	52	123
wipi2	2936	1130	982	629	1281	684	419	285	933
mmd2a	732	105	78	36	123	33	34	13	39
ap5z1	2831	103	133	74	257	116	63	31	100
foxk1	2430	1712	1413	493	2066	599	619	273	1090
cyp3c4	2312	322	310	191	420	203	123	47	363
cyp3c3	2403	315	401	184	550	260	521	95	445
cyp3c2	2002	76	50	3	71	72	20	3	53
cyp3c1	1881	568	608	278	668	373	307	129	652
sdk1a	8808	1004	988	444	1248	625	299	149	551
LOC103910300	1714	28	15	1	57	20	19	9	25
si:ch211-222n22.1	527	14	1	9	2	0	9	1	0
card11	4457	141	238	134	261	206	124	65	172
gna12a	4379	394	494	206	581	397	243	155	363
eif3ba	2663	5458	5149	3844	7595	3494	2740	1216	5357
chst12a	1376	103	208	89	196	118	81	22	148
LOC101883165	1767	66	56	21	41	31	22	10	32
grifin	665	159	113	70	163	154	88	58	171
lfng	2989	557	705	326	932	390	280	96	454
ttyh3a	4630	954	1050	503	1240	535	466	166	600
snx8a	2753	81	129	47	155	158	33	44	85
nudt1	1264	49	29	20	27	47	26	20	18
ftsj2	1257	12	18	5	57	8	10	5	17
zgc:194207	907	0	2	0	0	0	0	0	0
LOC103910301	1487	0	0	0	0	0	0	1	0
LOC101882645	356	6	10	1	25	8	4	1	13
LOC101882679	8637	281	275	142	498	181	116	82	251
elfn1a	5299	509	601	274	756	344	239	112	423
psmg3	757	187	222	65	166	86	71	42	125
tmem184a	2897	469	451	155	476	378	222	131	399
mafk	3062	291	422	124	574	199	188	135	314
ints1	6896	1557	1648	729	1926	693	496	297	1024
si:dkey-43p13.5	1233	57	50	21	17	63	18	4	34
micall2a	3846	49	88	40	127	53	16	20	25
LOC101883552	598	10	34	24	32	105	16	7	19
LOC110438761	413	0	0	0	0	6	0	0	0
LOC110439298	1559	0	6	0	0	13	5	0	4
uncx	3122	358	323	86	413	183	159	76	294
zfand2a	1617	364	376	130	356	226	235	76	256
galr2b	3060	148	117	55	169	97	50	21	106
axin1	8318	1887	2086	941	2480	985	660	320	1372
trnat-cgu_1	72	0	0	0	0	0	0	0	0
si:ch73-156l6.2	1850	97	66	50	102	104	34	32	58
mir193b	85	0	12	0	1	0	4	1	8
mir365-1	89	16	11	7	9	0	6	3	12
zgc:92162	1294	19	24	20	35	28	9	1	20
zc3h7a	3998	560	690	319	923	451	348	121	555
snn	1590	215	248	59	257	101	133	40	131
litaf	2284	91	219	50	195	163	86	44	110
rmi2	2237	17	34	3	15	25	1	0	2
mslna	8540	202	234	100	291	281	131	74	377
ubfd1	2454	428	288	172	484	233	204	161	344
LOC799265	2514	175	253	81	291	122	118	47	165
il4r.2	2547	67	76	36	88	68	59	35	72
LOC103910311	415	3	17	17	13	4	5	3	25
il4r.1	2340	122	205	69	219	85	110	54	171
nsmce1	1588	61	43	40	56	48	33	20	73
kdm8	1567	69	33	31	68	27	13	4	19
hs3st4	1852	285	305	119	369	89	95	35	180
hs3st2	1149	119	73	32	105	49	52	17	50
usp31	7924	945	995	382	1354	577	442	160	722
kctd5a	1814	440	458	167	502	301	182	62	248
pdpk1a	2392	453	422	194	493	294	166	154	291
il21r.2	1472	5	14	0	8	32	7	2	3
il21r.1	2313	39	17	10	25	52	16	15	25
ube2ia	1527	885	868	193	746	375	454	182	488
baiap3	4175	307	371	115	397	205	114	51	175
mir2195	110	0	0	0	0	2	0	0	0
gpr146	3528	888	1029	261	1295	506	334	182	610
gper1	2890	9	12	5	18	47	4	6	4
h3f3a	722	1169	1140	665	1459	462	647	139	861
unkl	7306	3645	3031	1006	3995	1734	1216	778	2302
LOC101882899	5337	76	143	19	119	96	34	23	62
igfals	2336	34	53	38	70	89	4	18	33
shisa9b	2883	294	268	81	290	115	89	49	141
LOC110439299	2052	5	3	0	2	6	0	7	0
mkl2b	6495	723	840	333	1071	599	408	171	611
snrnp25	980	80	47	32	71	34	26	7	22
polr3k	665	96	63	41	79	70	61	12	37
cdip1	1891	722	798	198	941	348	323	150	411
sc:d0202	1431	0	19	7	2	30	4	0	0
LOC101882965	644	6	1	6	0	0	0	0	3
si:ch211-66e2.3	1232	16	21	16	13	24	16	3	24
si:ch211-66e2.5	1409	171	146	59	179	52	46	23	121
tyk2	5009	397	436	231	492	418	165	123	385
raver1	4430	203	225	136	344	191	165	60	160
LOC100001908	5598	35	46	12	38	32	18	5	11
pde4a	6368	957	840	458	1332	577	288	130	652
si:dkey-248g21.1	522	63	49	10	37	16	21	14	20
prkcsh	2218	408	507	239	633	266	465	95	420
elavl3	6042	13468	11517	2679	13137	5058	5562	2120	7408
LOC103910324	362	0	7	3	1	17	1	6	2
LOC565691	5322	151	183	109	265	210	61	35	155
LOC101883904	1262	1	2	0	0	2	0	0	0
qtrt1	1360	107	104	29	77	91	42	20	36
dnm2a	5390	932	997	499	1325	598	563	217	762
mir199-2a	98	1	18	2	25	19	9	2	15
tmed1a	1165	55	28	16	30	31	34	1	40
tnfsf14	708	0	10	4	7	19	0	8	8
tnfsf18	632	0	3	0	3	4	2	0	0
ppap2d	1632	188	134	17	89	56	64	35	84
adgrl1a	8246	1233	1407	433	1518	665	356	225	847
LOC101885915	602	0	7	6	8	3	0	1	5
LOC796293	2631	0	0	0	0	0	0	0	0
si:ch211-207b24.4	4237	19	14	8	5	26	10	5	1
fn3krp	1095	110	91	26	117	61	45	19	59
tbcd	4827	529	457	228	823	377	206	101	478
znf750	2899	170	132	88	165	173	66	36	97
metrnl	1620	325	338	157	450	148	83	34	208
atp5h	720	1667	1762	643	1815	590	998	269	1207
slc16a5b	2407	0	0	0	0	0	0	0	0
ndel1b	3596	264	441	127	461	142	239	71	213
rnf222	2474	24	48	15	41	36	6	8	7
si:ch211-114m9.1	5317	12	0	1	0	0	0	0	0
hs3st3b1a	1577	83	60	31	52	23	43	11	63
LOC103910314	337	0	0	0	0	0	0	0	0
ftr42	1865	0	0	0	0	0	0	0	0
LOC103910315	745	0	0	0	0	0	0	0	0
ftr41	2735	0	0	0	0	0	0	0	0
ftr94	2364	0	0	0	0	0	0	0	0
zgc:163083	808	0	0	0	0	0	0	0	0
zgc:92161	1874	128	154	85	167	58	72	44	184
si:dkey-66l17.4	348	3	2	3	1	0	1	0	1
zgc:112146	949	69	89	94	91	70	31	23	90
zgc:123284	1220	47	30	14	26	33	10	12	7
trim35-12	2244	136	185	51	262	79	33	71	128
gipc1	2376	335	413	260	560	141	203	46	237
dnajb1a	1558	338	367	168	293	198	163	103	244
si:ch73-167f10.1	731	0	4	2	3	8	1	1	0
tecra	1609	37	65	27	62	54	30	8	31
samd1a	1683	97	109	74	138	64	40	26	58
prkacaa	6448	2347	2814	1335	3455	1358	1171	537	1882
LOC101882145	1191	19	33	22	61	12	7	0	15
asf1ba	1357	46	53	14	80	72	39	17	20
crb3a	2459	166	175	112	174	178	105	53	175
LOC793338	5316	4	7	5	12	5	0	0	1
zgc:153426	1752	2357	1862	777	2370	643	745	113	1035
LOC103910317	768	0	1	0	3	0	0	0	1
LOC103910318	629	0	0	0	0	0	0	0	0
LOC110439300	554	0	0	0	0	0	0	0	0
LOC100536643	2204	46	32	33	63	51	15	24	48
LOC103910319	2747	18	15	4	24	29	9	16	6
LOC103910320	1170	19	13	7	12	14	4	3	13
gcgra	4192	16	16	12	26	31	2	1	24
LOC103910321	845	1	0	1	4	11	0	1	0
LOC110439301	2147	4	0	0	0	0	0	0	1
si:ch1073-100f3.2	3611	23	49	30	21	71	4	6	15
mrpl12	1096	463	385	199	576	187	213	99	278
zgc:103625	825	68	39	28	40	28	8	9	19
hgs	4612	1042	1161	390	1689	441	492	244	762
cldnk	1985	140	244	54	219	107	87	36	90
btr02	1689	113	132	50	167	98	47	24	108
si:dkey-120c6.5	2735	0	0	0	0	3	0	0	0
LOC110438607	1781	3	0	0	0	0	0	1	0
rsad1	1502	0	0	0	1	0	0	0	0
zgc:114118	2075	0	0	0	6	0	0	0	0
epn3a	5391	68	64	16	102	47	41	6	67
arl16	824	21	27	2	45	17	19	15	12
gas7a	1962	150	176	41	299	177	73	47	189
LOC110439302	2746	165	78	11	127	107	37	24	95
rcvrna	838	21	19	12	51	19	12	2	32
LOC792447	2307	45	58	15	59	27	26	6	24
LOC103910330	382	5	0	7	6	30	2	2	10
LOC103910329	883	2	23	3	12	5	4	3	4
LOC103910328	1137	8	11	1	20	41	16	0	2
LOC110439303	1636	25	28	6	9	7	9	3	17
LOC108182781	4441	40	67	30	88	157	25	13	72
pmp22a	1254	39	87	30	124	29	37	3	61
LOC103910333	59	2	0	0	0	11	2	0	0
cdc42ep4a	3656	73	30	8	54	8	34	4	66
si:ch211-148f13.1	7355	72	45	14	58	37	19	25	43
si:dkey-54h16.1	2268	0	2	10	19	5	6	2	1
ttyh2l	2903	182	178	104	219	99	58	23	144
LOC103910334	561	3	8	2	7	0	4	4	0
chmp6a	1431	25	29	9	49	32	3	17	24
baiap2a	7540	964	1131	341	1415	612	470	214	729
aatka	7490	1937	2118	855	2676	1213	789	376	1347
LOC100150142	1288	6	19	0	0	23	4	3	5
zgc:165582	2099	19	40	7	41	43	21	8	15
LOC108182782	515	0	10	0	0	0	1	4	0
adgre14	1863	0	15	9	6	12	7	1	1
LOC101882164	940	12	8	4	1	2	1	1	11
LOC108182850	1755	25	8	1	8	18	1	1	19
LOC100538195	984	0	0	0	0	0	0	0	0
LOC108182851	545	0	2	0	4	3	0	0	0
adgre13	1437	0	0	9	1	6	0	5	0
LOC100538283	2948	0	6	0	5	0	0	5	0
ptger1c	1335	0	9	0	13	0	0	0	0
slc27a1a	2906	161	134	72	230	101	91	34	148
trim35-13	2895	31	27	19	64	55	32	5	51
LOC103908666	1924	69	100	41	58	67	22	10	47
si:dkey-210j14.3	1619	135	145	59	142	68	61	36	104
zgc:113210	3655	298	213	110	247	178	95	58	158
LOC566011	2337	206	201	85	208	183	119	37	191
pgls	1948	29	61	24	63	26	16	8	37
colgalt1	5481	179	171	127	329	125	76	23	125
gmip	4544	220	375	82	494	192	126	73	224
lmx1al	4050	254	226	69	311	178	88	53	183
chchd5	772	37	61	14	59	21	42	2	15
atp13a1	4083	575	487	365	831	296	318	94	390
dsn1	1473	20	54	53	81	46	31	1	27
pbx4	2832	2327	2301	999	3234	1044	939	380	1616
lpar2a	1601	76	88	42	184	58	31	24	82
LOC570571	1393	0	15	2	7	8	5	10	0
brd4	5386	3007	2863	839	3897	1107	1118	471	1804
pet100	610	72	49	8	97	13	30	13	49
stxbp2	2551	358	387	186	611	271	306	101	311
LOC556170	2416	457	304	105	478	230	153	115	248
xab2	2903	318	318	277	483	191	135	65	236
camsap3	6523	924	1071	406	1375	574	382	215	629
nr5a5	2086	508	448	171	581	210	194	84	365
soul5	1265	405	336	214	622	296	203	81	231
zgc:171711	1265	23	16	5	24	49	13	6	26
zmp:0000001048	1312	43	30	18	34	28	5	3	15
notch3	7921	2020	2323	1311	3700	1197	996	374	1922
rdh8a	1728	283	302	131	389	127	141	78	214
col5a3a	7728	125	183	109	253	190	88	51	82
olfm2a	2821	1467	933	366	1104	368	469	154	590
trip10a	3200	397	527	170	614	315	239	134	284
si:ch73-208g10.1	5543	35	73	16	39	43	22	21	28
angptl6	2309	25	26	26	39	36	10	17	31
ppan	1867	336	296	150	442	220	172	70	222
p2ry11	1420	13	20	4	13	27	10	8	4
eif3g	1031	2200	2228	1037	2570	1338	1011	559	1940
dnmt1	4972	742	721	392	1080	378	345	87	454
s1pr2	2370	408	365	133	427	193	180	54	282
si:ch211-74m13.3	7132	258	424	214	429	296	166	106	303
si:ch211-74m13.1	1816	68	111	58	101	86	46	28	65
LOC566194	1491	94	88	51	114	54	41	15	48
ubald1b	1745	191	244	121	261	93	109	34	110
mgrn1b	5568	784	597	288	895	382	277	148	549
aanat2	1403	63	43	17	44	25	19	9	23
rhbdf1a	3840	697	743	365	914	445	353	131	487
mpg	1234	102	70	41	104	43	23	19	67
nprl3	3022	285	311	89	451	120	128	51	215
hbba2	647	0	2	0	0	0	2	0	3
hbaa2	580	0	0	0	4	1	0	0	6
ba1l	617	0	2	0	0	14	0	4	5
hbaa1	581	0	0	1	2	4	0	4	0
ba1	667	0	0	0	1	5	0	0	0
si:ch211-5k11.8	585	0	0	2	1	4	1	0	1
hbbe1.1	583	3437	3982	1616	4013	1438	2220	587	2277
hbae1	532	188	210	54	206	62	155	12	75
hbbe1.2	583	85	149	64	189	60	133	9	59
hbae1.3	564	42	34	8	30	7	62	14	31
hbbe1.3	920	387	569	169	374	133	235	23	209
LOC100334599	584	575	604	215	610	186	333	47	251
hbae3	588	3043	2486	946	2504	736	1347	186	1108
kank2	4310	1430	1683	511	1896	583	563	258	891
dock6	8240	927	981	388	1209	418	510	154	656
si:dkey-114l24.2	1007	51	31	7	55	53	23	0	27
LOC101884549	1422	0	18	4	10	14	7	4	7
mafga	1871	119	146	45	134	58	96	17	87
ern1	964	96	115	59	149	55	65	10	122
si:dkey-188h10.3	757	21	30	11	37	35	20	4	11
tex2	8125	1466	1694	562	2036	1087	815	339	1348
axin2	3469	1085	1027	620	1321	681	474	196	884
cep112	3280	136	204	81	187	148	72	35	105
si:ch73-374l24.1	3003	617	577	299	855	321	223	169	348
cacng5b	1302	104	128	33	133	55	58	25	50
cyth3b	2939	509	413	173	530	190	181	51	268
LOC797202	918	159	125	66	148	111	93	16	107
rac1b	1321	228	389	162	406	287	194	113	248
stk19	1097	16	13	7	17	15	3	2	10
LOC101885631	870	0	10	6	5	14	0	3	1
LOC101885757	2023	57	66	23	86	59	55	27	50
rnf213a	16072	613	774	365	921	707	389	266	553
LOC103910339	516	0	1	3	0	9	6	0	2
zgc:112148	841	59	81	23	84	73	50	7	68
amn	1814	44	61	35	94	45	26	11	24
ush1ga	5326	65	104	44	86	63	45	15	73
otop2	2441	79	124	16	145	69	76	47	39
hid1a	1503	324	298	91	323	98	127	48	210
LOC796453	1506	279	314	64	424	201	138	83	214
LOC797750	10304	2853	2618	952	3641	1165	930	429	1602
trnam-cau_2	72	0	0	0	0	0	0	0	0
trnam-cau_3	72	0	0	0	0	0	0	0	0
trnam-cau_4	72	0	0	0	5	0	0	0	0
fscn2a	1699	76	90	43	166	87	40	20	41
LOC100000694	1070	4	2	8	14	10	0	2	5
socs3a	1933	173	2472	134	2563	224	315	156	241
cyth1a	5514	1758	1726	620	1954	680	827	425	1146
usp36	5066	2815	2833	994	3699	1632	1205	670	2528
timp2b	2938	119	198	66	161	130	29	22	98
LOC101883359	6521	17	1	1	0	0	0	0	0
lgals3bpa	1977	1	15	37	8	22	2	1	5
zgc:112492	1977	16	12	23	9	28	0	3	13
LOC101883627	3561	104	37	26	83	80	35	13	69
lgals3bpb	1960	56	34	21	90	34	16	15	32
cant1a	1945	137	175	118	216	140	98	30	136
syngr2a	3525	526	484	160	659	367	372	267	361
LOC100149241	2572	20	10	15	25	40	3	6	14
LOC101883902	1108	7	1	0	3	0	0	4	0
stra13	498	22	17	11	26	51	6	10	14
notum1a	1503	113	125	68	199	44	35	21	84
myadml2	2193	8	76	27	63	43	14	3	31
pycr1a	2576	97	163	70	204	107	76	23	58
LOC101883850	1423	37	44	24	44	51	22	29	40
LOC103910342	2037	5	26	9	15	8	0	7	18
LOC101886370	758	0	8	8	8	10	0	2	0
LOC110439304	2405	28	42	10	37	43	18	13	40
si:ch211-256e16.5	426	5	5	0	1	0	3	4	5
si:ch211-256e16.4	1156	9	9	2	4	24	4	5	8
si:ch211-256e16.3	3103	182	197	93	358	153	71	31	135
snu13a	1837	224	176	74	218	122	90	32	166
uqcrc2a	1667	1215	1449	800	2185	584	746	225	932
LOC110439305	725	184	191	85	199	186	90	43	213
im:6904045	523	28	42	36	53	21	33	14	38
gb:eh551987	5128	815	895	426	1069	447	338	147	476
vwa3a	4103	40	69	27	97	53	25	21	70
sdr42e2	2629	18	45	20	34	22	3	18	17
cdr2a	3012	187	248	85	290	116	130	53	170
zgc:171489	1735	42	44	13	49	44	12	3	29
si:ch211-165g14.1	3424	191	186	53	230	104	85	28	120
unm_sa1261	2328	480	562	209	725	236	149	89	329
LOC101885252	3789	273	316	94	356	199	251	70	209
LOC110439318	1258	32	30	17	27	27	9	13	15
dhrs7ca	1774	10	24	2	45	51	3	2	19
LOC103910344	452	0	0	0	0	0	0	1	0
LOC110439306	452	0	0	0	0	0	0	0	0
LOC101884804	1006	0	3	0	6	2	0	1	0
LOC103908723	903	0	0	0	2	12	0	2	8
LOC103910348	1576	7	11	1	10	9	0	2	14
LOC108182857	2050	24	46	22	73	34	32	8	59
si:ch73-281f12.4	4431	241	355	169	500	235	78	52	253
luc7l3	2040	1636	1489	673	1792	770	633	228	1095
LOC103910349	482	0	0	0	0	0	0	0	0
LOC101885134	749	3	5	1	3	3	1	0	6
trem2	363	0	0	0	0	0	0	0	0
LOC100537733	1346	45	59	56	96	61	65	11	96
LOC108179035	717	37	70	41	107	55	18	9	73
LOC101883546	1598	64	141	56	138	120	89	54	87
LOC101883625	1971	12	28	6	19	9	1	6	3
zgc:153845	1499	275	246	151	348	139	150	35	208
prpsap1	688	254	240	94	341	122	162	48	231
mgat5b	2026	169	142	77	272	49	33	39	91
LOC100332615	1330	121	126	84	162	134	58	27	114
LOC110437765	980	313	319	192	474	191	123	59	283
nptx1l	2446	685	759	266	992	415	199	104	587
pecam1	2418	232	351	120	443	185	143	41	269
ppp1r27a	1254	429	502	181	646	185	199	60	207
fam195b	1147	306	262	87	262	190	179	45	187
alyref	1254	1205	953	605	1545	490	477	135	780
arhgdia	2196	2057	1940	783	2165	990	1110	382	1255
cdr2l	2374	400	477	271	600	156	165	38	203
recql5	3837	233	223	146	360	192	64	78	149
si:ch211-110e21.3	1050	335	258	110	284	196	126	70	289
si:ch211-110e21.4	2990	21	24	13	14	26	10	14	8
zgc:113265	9848	64	30	19	88	46	22	13	63
zgc:113030	2743	56	47	50	119	25	27	23	32
LOC101882598	1312	6	4	3	5	14	7	0	0
LOC101882465	988	41	51	5	86	33	9	3	39
LOC100003182	3447	174	112	42	136	24	38	28	114
zgc:174268	2705	44	80	32	69	65	48	7	47
LOC110437795	1611	1	17	2	8	47	1	4	2
LOC101883456	1994	1	0	0	5	2	0	0	0
LOC108182859	2604	165	188	65	189	146	41	25	103
si:ch211-120g10.1	4678	504	636	220	727	269	173	172	401
si:ch73-364h19.1	3598	22	34	28	40	42	8	10	44
xylt2	2932	236	196	161	370	108	120	59	185
LOC110439319	516	16	2	0	19	24	8	5	29
zgc:112183	772	32	24	15	47	39	7	11	20
LOC110439320	838	63	58	4	34	18	25	2	3
si:ch211-214b16.3	6711	240	286	53	163	112	206	53	160
LOC110439307	342	0	0	0	0	0	0	0	0
si:ch211-214b16.2	1147	25	19	0	2	0	4	3	3
LOC103910353	1480	25	16	8	13	9	26	4	17
si:ch73-366l1.5	2446	2604	2501	910	3266	752	945	250	1249
jmjd6	3556	133	154	81	208	145	82	34	99
mettl23	1523	58	28	6	25	9	2	7	12
srsf2b	3561	249	199	99	231	130	103	48	159
mfsd11	2724	174	194	113	262	131	145	53	164
LOC100330159	4294	105	92	61	126	86	35	19	43
ubald2	1076	372	353	142	500	145	128	69	272
foxj1a	3753	181	118	26	221	136	50	33	124
tsen54	2380	382	239	140	475	156	70	85	207
LOC110439321	601	2	11	16	14	27	31	7	20
LOC101884816	1305	10	40	17	56	41	23	5	39
anks4b	2941	286	439	208	615	299	193	84	361
LOC566378	4920	233	317	102	328	183	175	75	230
dxo	2768	276	295	118	358	111	154	66	191
pitpnc1	1635	1067	827	165	740	383	411	201	378
helz	5962	1937	1666	808	2582	704	670	228	781
cacng1b	2077	34	25	13	23	45	11	0	16
cacng4b	2720	112	121	35	172	83	38	20	70
aimp2	1471	1263	1062	559	1472	465	549	213	754
pvalb8	840	1898	1787	456	1569	427	648	263	881
pvalb4	633	6342	6922	3465	6489	4473	3607	1284	5176
pvalb1	741	89535	95909	50304	85408	42400	48045	9302	53759
pvalb5	678	548	518	239	498	278	251	74	369
